Monthly Data for December 2017 for California

Name, StationType, MeanAvgTemperature
POPPY PARK CALIFORNIA, RAWS, 49.4
POTRERO CALIFORNIA, RAWS, 55.7
POVERTY CALIFORNIA, RAWS, 54.5
PANOCHE ROAD CALIFORNIA, RAWS, 52.6
PULGAS CALIFORNIA, RAWS, 53.9
QUARTZ HILL CALIFORNIA, RAWS, 37.0
QUINCY RD CALIFORNIA, RAWS, 36.6
RAVENDALE CALIFORNIA, RAWS, 31.7
RANCHITA CALIFORNIA, RAWS, 54.3
READER RANCH CALIFORNIA, RAWS, 50.8
REDDING AIRPORT CALIFORNIA, RAWS, 48.2
RICE VALLEY CALIFORNIA, RAWS, 56.3
ROCK CREEK, RAWS, 37.2
RODEO VALLEY, RAWS, 47.5
ROSE VALLEY CALIFORNIA, RAWS, 46.0
ROUND MOUNTAIN, RAWS, 37.5
ROSE PEAK CALIFORNIA, RAWS, 53.6
RUSH CREEK CALIFORNIA, RAWS, 39.7
RUTH CALIFORNIA, RAWS, 40.7
SACRAMENTO NWR CALIFORNIA, RAWS, 50.0
SADDLEBACK BUTTE CALIFORNIA, RAWS, 45.9
SAUGUS CALIFORNIA, RAWS, 61.0
SAWYERS BAR CALIFORNIA, RAWS, 39.9
SANTA BARBARA ISLAND CALIFORNI, RAWS, 62.0
SANTA CRUZ ISLAND CALIFORNIA, RAWS, 60.1
SCORPION CALIFORNIA, RAWS, 43.2
SODA CREEK CALIFORNIA, RAWS, 38.5
SADDLEBACK CALIFORNIA, RAWS, 43.0
SECRET TOWN CALIFORNIA, RAWS, 49.3
SANTA FE DAM CALIFORNIA, RAWS, 63.2
SHAVER CALIFORNIA, RAWS, 41.7
SCHOOL HOUSE CALIFORNIA, RAWS, 50.6
SHIP MTN. CALIFORNIA, RAWS, 44.9
SHADEQUARTER CALIFORNIA, RAWS, 53.0
LADDER BUTTE CALIFORNIA, RAWS, 40.8
LEO CARRILLO CALIFORNIA, RAWS, 62.8
LOS GATOS CALIFORNIA, RAWS, 53.9
LOST HORSE CALIFORNIA, RAWS, 48.3
LINCOLN CALIFORNIA, RAWS, 46.9
LOWER KLAMATH CALIFORNIA, RAWS, 30.0
LOS PRIETOS CALIFORNIA, RAWS, 59.1
LAS TABLAS CALIFORNIA, RAWS, 47.5
LITTLE TUJUNGA CALIFORNIA, RAWS, 63.0
SIMS CALIFORNIA, RAWS, 45.3
SLATER BUTTE CALIFORNIA, RAWS, 38.8
SAN MIGUEL CALIFORNIA, RAWS, 63.8
SAN LUIS NWR CALIFORNIA, RAWS, 47.1
SANTA RITA CALIFORNIA, RAWS, 52.0
SOLDIER MOUNTAIN CALIFORNIA, RAWS, 39.1
SOMES BAR CALIFORNIA, RAWS, 43.2
SQUAW SPRINGS CALIFORNIA, RAWS, 54.2
SQUAW LAKE CALIFORNIA, RAWS, 63.5
